@relation dataset

@attribute att_1 real
@attribute att_2 real
@attribute att_3 real
@attribute att_4 real
@attribute att_5 real
@attribute att_6 real
@attribute att_7 real


@data

?,?,1.676,0.0,?,1.453,?
2.189,0.58,?,0.0,0.0,1.348,?
?,0.638,0.831,?,0.0,1.348,?
?,?,1.472,?,0.0,1.807,?
2.094,?,?,0.0,0.0,?,5.39
?,0.331,?,?,0.0,?,1.819
3.179,0.0,1.063,0.0,?,?,?
?,?,?,?,?,?,?
?,?,?,?,0.0,2.942,?
?,0.134,?,?,?,1.591,?
?,?,?,0.0,?,?,?
?,?,?,?,?,?,?
2.512,0.223,?,1.0,0.0,1.769,3.919
2.834,?,?,?,?,1.859,?
2.819,0.331,1.271,0.0,?,?,?
?,?,1.114,?,?,?,?
2.834,0.134,?,0.0,?,1.199,?
3.014,?,?,?,0.0,-0.115,?
?,0.452,2.698,?,?,?,?
?,0.405,1.205,1.0,?,?,?
?,?,?,0.0,?,-1.169,2.976
?,1.246,1.103,?,1.0,3.988,?
?,?,?,0.0,?,4.068,5.643
?,0.223,?,0.0,?,3.395,4.629
2.71,?,?,0.0,?,2.526,?
?,?,?,?,?,3.112,?
3.332,?,?,?,?,?,?
?,?,?,0.0,?,2.591,?
3.155,0.638,2.128,0.0,0.0,?,?
?,?,?,?,0.0,1.748,?
1.075,1.161,0.865,?,1.0,?,?
3.645,?,?,?,0.0,?,?
3.079,?,2.135,?,?,?,?
?,?,?,?,0.0,?,?
2.726,?,?,?,?,1.06,2.269
?,0.134,?,0.0,?,2.813,?
?,?,1.248,?,?,5.089,?
3.605,0.0,1.15,?,0.0,?,?
?,?,0.944,3.0,0.0,2.066,?
3.833,0.405,1.522,0.0,?,?,?
?,?,?,0.0,?,?,3.665
?,?,1.0,?,0.0,?,3.56
?,?,0.92,?,?,2.37,?
3.103,?,?,?,0.0,?,?
4.413,0.56,?,1.0,2.0,3.906,?
?,0.331,?,?,?,?,?
3.073,?,?,?,?,?,4.016
?,0.223,?,?,?,2.193,3.857
3.818,?,?,?,2.0,?,5.522
?,0.693,?,0.0,2.0,?,4.851
3.734,0.223,?,?,?,?,?
?,?,1.374,?,2.0,?,?
2.126,?,?,0.0,?,3.795,?
2.216,?,?,?,?,?,3.559
