@relation dataset

@attribute x real
@attribute y real
@attribute month {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}
@attribute day {0, 1, 2, 3, 4, 5, 6}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

?,5.0,7,?,86.2,26.2,?,5.1,?,51.0,6.7,?,0.0
?,4.0,10,5,?,?,?,6.7,18.0,33.0,?,0.0,0.0
?,4.0,?,?,90.6,43.7,686.9,6.7,14.6,33.0,1.3,?,0.0
8.0,?,7,0,91.7,33.3,77.5,?,8.3,?,?,0.2,0.0
8.0,6.0,7,3,?,51.3,?,9.6,?,99.0,?,0.0,?
8.0,6.0,?,3,?,?,?,14.7,?,29.0,?,?,0.0
8.0,6.0,?,?,92.3,88.9,495.6,?,24.1,27.0,3.1,0.0,0.0
8.0,6.0,1,1,91.5,145.4,608.2,10.7,8.0,86.0,2.2,0.0,0.0
8.0,6.0,?,5,91.0,129.5,692.6,7.0,?,63.0,?,?,0.0
7.0,?,?,2,92.5,88.0,698.6,7.1,?,40.0,4.0,0.0,0.0
?,5.0,11,2,92.5,88.0,698.6,?,17.8,?,?,0.0,0.0
7.0,5.0,11,?,92.8,73.2,713.0,22.6,19.3,?,?,?,0.0
6.0,5.0,1,?,63.5,?,665.3,0.8,17.0,72.0,6.7,?,0.0
6.0,5.0,11,?,?,126.5,686.5,7.0,21.3,42.0,2.2,0.0,0.0
?,5.0,11,6,92.9,133.3,?,9.2,26.4,21.0,4.5,?,0.0
?,5.0,?,0,?,?,713.9,?,?,44.0,5.4,0.0,0.0
5.0,?,7,2,91.7,35.8,?,?,15.1,?,5.4,0.0,0.0
?,?,10,1,?,32.8,?,3.0,?,47.0,4.9,0.0,0.0
6.0,?,?,?,89.2,?,70.8,6.3,15.9,35.0,4.0,?,?
6.0,?,0,2,86.3,?,97.1,5.1,9.3,?,4.5,?,0.0
?,4.0,?,?,?,129.5,692.6,7.0,?,40.0,2.7,0.0,0.0
5.0,4.0,11,?,?,?,724.3,?,?,?,2.7,?,0.0
7.0,4.0,6,3,94.3,96.3,200.0,?,21.0,?,?,?,?
?,4.0,1,?,90.2,110.9,537.4,6.2,?,?,?,0.0,0.0
7.0,?,?,2,93.5,139.4,594.2,20.3,23.7,32.0,5.8,0.0,0.0
7.0,?,?,3,?,?,601.4,10.6,16.3,60.0,5.4,0.0,0.0
?,4.0,11,0,92.4,117.9,668.0,12.2,19.0,?,5.8,0.0,?
7.0,?,11,?,90.9,?,?,?,19.4,48.0,1.3,0.0,?
6.0,3.0,11,2,?,145.4,?,?,?,24.0,2.7,?,?
6.0,3.0,11,?,93.5,?,?,8.1,?,?,3.6,?,0.0
?,3.0,?,?,?,?,692.3,15.9,25.4,?,?,?,0.0
6.0,?,11,?,?,?,?,?,11.2,?,7.6,0.0,0.0
?,3.0,11,?,?,?,706.8,?,?,37.0,1.8,?,0.0
6.0,3.0,11,3,?,75.6,718.3,?,17.7,39.0,3.6,0.0,?
?,?,?,1,91.8,78.5,724.3,9.2,?,?,?,0.0,0.0
?,3.0,?,5,?,?,?,6.3,18.2,62.0,?,0.0,0.0
6.0,?,10,5,?,35.4,669.1,6.7,?,24.0,?,0.0,0.0
