@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {0, 1, 2}


@data

?,14.84,?,5.763,3.312,2.221,5.22,0
14.88,14.57,?,?,3.333,1.018,4.956,?
14.29,14.09,0.905,5.291,?,2.699,?,0
13.84,13.94,0.8955,?,?,2.259,?,0
16.14,?,0.9034,5.658,3.562,1.355,?,?
14.38,14.21,?,?,?,?,4.956,0
?,14.49,0.8799,5.563,3.259,3.586,5.219,0
?,14.1,0.8911,5.42,3.302,?,5.0,0
16.63,?,?,6.053,3.465,2.04,5.877,0
16.44,15.25,0.888,5.884,3.505,1.969,?,?
15.26,?,0.8696,5.714,3.242,?,5.314,?
?,14.16,?,5.438,?,1.717,5.001,0
13.89,14.02,0.888,5.439,3.199,3.986,4.738,?
13.78,14.06,0.8759,5.479,?,3.136,4.872,0
13.74,14.05,0.8744,?,?,2.932,4.825,?
?,14.28,0.8993,5.351,3.333,4.185,?,?
13.99,13.83,0.9183,?,?,?,?,0
15.69,?,?,5.527,?,1.599,?,0
?,?,0.9153,?,?,1.767,?,0
12.72,13.57,?,5.226,3.049,?,?,0
14.16,?,?,?,?,?,?,0
?,14.26,?,5.52,3.168,2.688,5.219,0
?,14.9,0.8988,5.618,?,?,?,?
?,13.23,?,5.099,2.936,?,4.961,0
15.01,?,?,?,?,?,5.001,?
16.19,?,0.8849,5.833,3.421,0.903,5.307,0
?,?,?,5.395,3.026,3.373,?,?
?,?,0.8564,5.395,2.956,2.504,4.869,0
14.11,14.18,?,?,3.221,2.754,?,0
13.45,14.02,?,?,?,?,?,0
13.16,13.82,?,?,?,?,?,0
?,14.94,?,5.757,3.371,?,5.228,0
14.09,?,?,?,3.186,?,?,?
13.94,14.17,?,5.585,3.15,2.124,5.012,?
?,14.68,0.8779,5.712,3.328,2.129,?,?
?,15.0,0.9,5.709,3.485,?,?,0
16.2,15.27,0.8734,5.826,3.464,2.823,5.527,0
?,15.38,0.9079,?,3.683,2.956,?,0
?,14.52,0.8823,5.656,3.288,3.112,?,0
?,?,0.8944,5.397,3.298,?,?,0
13.54,13.85,0.8871,?,3.156,2.587,5.178,0
?,?,0.8852,5.351,3.158,?,?,0
?,13.55,0.9009,5.138,3.201,?,?,0
15.5,?,?,5.877,?,?,5.528,0
15.11,?,0.8986,5.579,3.462,3.128,5.18,0
?,14.04,0.8794,?,?,1.56,?,0
15.36,?,0.8861,5.701,3.393,1.367,5.132,0
14.99,?,?,?,3.377,?,5.175,0
14.79,14.52,0.8819,?,?,2.704,5.111,?
?,14.67,?,?,3.258,?,?,0
14.43,14.4,0.8751,5.585,3.272,?,5.144,0
15.78,?,0.8923,?,?,5.593,5.136,?
?,?,?,5.715,?,4.116,5.396,0
14.33,?,0.8831,5.504,3.199,?,5.224,0
14.52,14.6,0.8557,5.741,?,?,5.487,0
15.03,14.77,?,5.702,?,1.933,5.439,0
14.46,?,0.8818,5.388,3.377,2.802,?,0
?,14.43,0.9006,?,?,?,5.088,?
?,?,?,5.662,3.419,?,?,?
12.11,13.47,0.8392,5.159,3.032,?,4.519,0
