@relation dataset

@attribute area real
@attribute perimeter real
@attribute compactness real
@attribute kernel_length real
@attribute kernel_width real
@attribute asymmetry real
@attribute kernel_groove real
@attribute class {1, 2, 3}


@data

15.26,14.84,0.871,?,3.312,2.221,5.22,1
14.88,14.57,?,5.554,3.333,?,4.956,1
14.29,14.09,0.905,5.291,?,?,4.825,1
13.84,13.94,0.8955,?,?,?,4.805,1
?,14.99,0.9034,5.658,3.562,1.355,5.175,1
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1
14.69,14.49,?,5.563,?,?,5.219,1
?,?,0.8911,?,3.302,2.7,5.0,?
?,?,?,6.053,?,2.04,5.877,1
?,15.25,0.888,?,3.505,1.969,?,1
?,14.85,0.8696,?,3.242,4.543,5.314,?
14.03,14.16,0.8796,5.438,?,?,?,1
13.89,14.02,0.888,5.439,?,3.986,4.738,1
?,14.06,0.8759,?,3.156,?,?,1
13.74,?,?,5.482,?,?,4.825,1
14.59,?,0.8993,5.351,?,4.185,?,?
?,?,0.9183,5.119,3.383,?,4.781,?
15.69,14.75,?,5.527,?,?,?,?
?,14.21,?,?,?,1.767,4.649,1
12.72,?,?,5.226,3.049,4.102,?,?
14.16,14.4,0.8584,5.658,?,3.072,?,?
?,14.26,0.8722,?,3.168,2.688,?,1
15.88,?,0.8988,5.618,3.507,?,5.091,1
12.08,13.23,?,?,2.936,1.415,4.961,1
15.01,14.76,?,5.789,3.245,1.791,?,1
?,?,0.8849,?,?,0.903,?,?
?,13.76,?,5.395,?,3.373,4.825,1
12.74,13.67,?,?,?,?,4.869,1
?,14.18,0.882,5.541,3.221,2.754,?,1
13.45,14.02,?,5.516,?,?,?,1
?,13.82,?,?,2.975,?,5.056,1
15.49,14.94,0.8724,5.757,?,?,5.228,1
14.09,14.41,0.8529,5.717,?,?,?,1
13.94,14.17,0.8728,?,3.15,?,5.012,1
15.05,?,0.8779,5.712,3.328,2.129,5.36,1
16.12,?,0.9,5.709,3.485,2.27,?,?
16.2,15.27,0.8734,5.826,?,2.823,5.527,1
17.08,?,0.9079,?,3.683,2.956,?,1
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,1
14.28,14.17,0.8944,?,3.298,?,5.001,?
13.54,?,0.8871,5.348,?,2.587,?,1
13.5,13.85,0.8852,5.351,?,2.249,5.176,?
13.16,?,?,5.138,?,?,?,?
?,14.86,0.882,5.877,?,4.711,?,?
15.11,14.54,0.8986,5.579,?,3.128,?,?
?,14.04,0.8794,5.376,3.155,?,?,1
15.36,14.76,0.8861,?,?,1.367,?,1
?,14.56,0.8883,5.57,?,?,?,1
14.79,?,0.8819,5.545,3.291,2.704,5.111,1
14.86,?,?,?,?,?,5.351,1
14.43,?,0.8751,5.585,3.272,?,?,1
?,14.91,?,?,?,5.593,?,1
?,?,0.8538,?,?,?,5.396,1
?,?,?,5.504,?,3.328,5.224,1
?,14.6,0.8557,?,3.113,1.481,5.487,1
?,14.77,0.8658,?,?,1.933,?,1
14.46,14.35,0.8818,?,?,2.802,?,1
14.92,14.43,?,?,3.412,?,5.088,?
?,14.77,?,?,?,?,?,1
?,13.47,?,?,?,?,?,1
11.42,12.86,?,5.008,2.85,2.7,4.607,1
11.23,12.63,?,4.902,?,2.269,4.703,1
?,13.19,0.8923,?,3.042,3.22,4.605,?
?,?,?,5.395,?,4.157,?,?
12.78,?,?,5.262,3.026,1.176,?,1
12.88,?,?,5.139,?,2.352,4.607,?
?,14.37,0.8726,5.63,3.19,1.313,5.15,1
?,14.29,0.8625,5.609,?,?,5.132,1
?,14.39,0.8726,5.569,3.153,1.464,?,1
?,?,0.8458,5.412,2.882,3.533,5.067,?
?,15.98,0.8673,?,?,?,?,2
16.84,15.67,?,?,3.484,?,?,2
17.26,15.73,0.8763,5.978,?,4.539,5.791,2
19.11,16.26,0.9081,6.154,3.93,2.936,6.079,?
16.82,15.51,0.8786,6.017,?,4.004,5.841,2
?,15.62,?,?,?,?,?,2
?,?,?,6.064,3.403,?,?,2
20.71,?,0.8763,?,3.814,?,6.451,?
18.94,16.49,0.875,6.445,3.639,5.064,6.362,2
17.12,?,?,?,3.566,2.858,5.746,2
?,15.34,0.8823,5.875,3.467,5.532,?,?
?,?,0.8977,6.006,?,?,?,2
20.2,16.89,0.8894,6.285,3.864,5.173,6.187,?
19.57,?,0.8779,?,?,?,6.273,?
?,?,0.878,6.366,?,2.962,?,2
?,?,0.887,6.173,3.651,?,6.197,?
18.88,?,?,6.084,3.764,?,6.109,2
18.98,16.66,?,6.549,?,3.691,6.498,?
21.18,17.21,?,?,4.033,5.78,6.231,?
20.88,17.05,0.9031,6.45,4.032,?,6.321,2
20.1,16.99,0.8746,?,?,1.955,?,2
?,?,0.8984,?,3.796,?,6.053,?
18.81,16.29,0.8906,6.272,3.693,3.237,?,?
