@relation dataset

@attribute make {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@attribute fuel-type {0, 1}
@attribute aspiration {0, 1}
@attribute num-of-doors {0, 1}
@attribute body-style {0, 1, 2, 3, 4}
@attribute drive-wheels {0, 1, 2}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {0, 1, 2, 3, 4}
@attribute num-of-cylinders {0, 1, 2, 3, 4, 5}
@attribute engine-size real
@attribute fuel-system {0, 1, 2, 3, 4, 5, 6}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {0, 1, 2, 3, 4, 5}


@data

?,?,?,1,?,2,88.6,?,64.1,48.8,2548.0,0,2,?,4,?,?,?,?,5000.0,21.0,?,13495.0,?
0,?,0,1,0,2,?,168.8,?,48.8,2548.0,?,?,?,?,?,2.68,9.0,111.0,?,?,?,16500.0,?
0,?,0,1,2,?,?,?,65.5,?,?,4,3,152.0,4,?,3.47,9.0,154.0,5000.0,19.0,26.0,?,3
1,?,0,?,?,?,99.8,176.6,66.2,54.3,?,?,2,?,4,?,3.4,10.0,?,5500.0,24.0,?,13950.0,?
1,?,?,0,3,0,99.4,176.6,?,54.3,?,?,?,?,4,?,?,8.0,?,5500.0,?,22.0,?,4
?,?,0,1,?,1,99.8,?,?,53.1,?,?,1,136.0,?,3.19,?,8.5,110.0,5500.0,19.0,?,?,4
?,1,0,?,?,?,105.8,192.7,?,55.7,2844.0,?,?,136.0,4,?,3.4,8.5,110.0,5500.0,19.0,?,17710.0,3
1,?,0,?,?,1,?,?,71.4,55.7,?,?,?,136.0,?,3.19,3.4,8.5,?,5500.0,19.0,?,18920.0,3
?,1,?,0,3,1,105.8,?,?,55.9,?,?,1,131.0,4,3.13,3.4,8.3,140.0,?,?,?,?,?
?,1,0,?,?,?,?,?,?,?,?,?,?,?,4,3.5,2.8,?,101.0,?,?,?,?,?
?,?,0,0,3,2,?,176.8,64.8,54.3,?,2,?,?,4,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,2
?,1,?,1,3,2,101.2,176.8,64.8,54.3,?,?,3,?,4,?,3.19,9.0,?,4250.0,21.0,28.0,20970.0,2
2,1,?,?,3,?,101.2,176.8,64.8,54.3,2765.0,?,3,?,4,?,?,9.0,121.0,4250.0,21.0,?,21105.0,2
2,1,?,0,3,?,?,?,?,55.7,3055.0,2,3,164.0,?,3.31,?,?,121.0,?,?,?,24565.0,3
?,1,?,?,3,2,?,189.0,?,?,?,?,?,209.0,4,?,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0,2
2,1,0,1,3,?,103.5,?,?,?,?,2,3,209.0,4,3.62,3.39,8.0,182.0,5400.0,?,22.0,?,2
2,?,?,0,3,2,?,197.0,?,?,?,?,3,209.0,?,3.62,?,8.0,182.0,5400.0,15.0,20.0,36880.0,?
3,?,0,?,2,?,?,141.1,?,53.2,?,?,4,61.0,?,?,?,9.5,?,?,47.0,?,5151.0,?
3,?,0,1,2,1,?,155.9,?,?,1874.0,2,?,?,?,?,?,9.6,?,?,38.0,43.0,6295.0,3
?,1,?,0,3,?,94.5,158.8,63.6,52.0,?,?,?,90.0,?,?,3.11,9.6,70.0,?,?,?,?,2
?,1,?,1,2,?,?,?,63.8,50.8,1876.0,?,?,90.0,?,2.97,?,?,?,5500.0,?,41.0,?,3
4,1,?,1,2,1,93.7,157.3,63.8,50.8,?,?,2,90.0,?,?,?,9.4,?,5500.0,?,?,?,3
?,1,1,?,2,1,93.7,?,63.8,50.8,?,?,?,?,4,3.03,?,7.6,?,5500.0,24.0,30.0,7957.0,3
4,1,?,0,?,?,93.7,157.3,63.8,50.6,?,?,?,?,1,?,3.23,9.4,?,5500.0,31.0,38.0,6229.0,?
?,?,?,?,?,?,?,?,63.8,?,?,?,?,?,?,?,3.23,?,68.0,?,?,38.0,?,?
4,?,?,0,?,?,?,157.3,63.8,?,?,?,?,?,1,?,?,?,?,5500.0,31.0,38.0,?,3
?,?,0,?,4,?,?,174.6,?,?,?,?,2,?,1,?,3.46,?,88.0,?,?,?,?,?
?,1,1,1,?,?,?,?,?,50.2,?,?,2,156.0,3,3.6,?,?,?,?,?,?,?,?
?,?,?,1,?,1,?,?,63.9,?,?,?,?,?,?,2.91,3.41,?,58.0,?,?,?,6479.0,4
?,1,0,?,2,1,?,144.6,?,50.8,?,?,?,?,0,?,?,?,?,6000.0,31.0,?,?,?
?,?,?,1,?,1,93.7,?,64.0,52.6,1837.0,2,?,79.0,?,2.91,3.07,?,?,?,?,?,5399.0,3
?,1,0,?,?,?,93.7,?,64.0,?,1940.0,?,?,?,?,?,?,?,76.0,?,?,?,?,3
5,?,?,?,?,1,?,?,?,?,1956.0,2,?,?,0,?,3.41,?,?,?,?,?,?,?
?,?,?,0,?,1,?,163.4,?,?,?,2,2,92.0,0,2.91,?,9.2,?,?,?,?,?,?
5,1,?,?,?,1,?,?,?,?,2024.0,2,?,?,?,?,?,?,?,6000.0,?,?,?,?
?,1,0,?,2,1,?,?,?,?,2236.0,?,?,?,0,?,?,9.0,86.0,5800.0,?,33.0,7895.0,?
5,1,0,?,?,?,?,?,?,?,2289.0,?,?,?,?,?,3.58,?,?,?,27.0,?,9095.0,?
?,?,?,0,?,?,?,?,65.2,54.1,2304.0,?,?,110.0,?,?,?,?,?,?,?,?,?,?
?,?,0,0,?,?,?,?,?,54.1,2372.0,2,?,?,0,3.15,?,?,?,?,27.0,33.0,?,2
?,1,?,0,?,?,?,?,65.2,?,2465.0,?,?,?,?,?,?,?,?,?,24.0,?,?,?
?,?,?,?,?,1,96.5,169.1,?,?,2293.0,?,?,?,?,3.15,?,?,100.0,5500.0,?,?,10345.0,?
?,1,?,0,?,?,94.3,?,61.8,53.5,2337.0,?,?,111.0,?,3.31,?,?,?,4800.0,?,?,6785.0,2
?,?,?,?,2,?,?,?,65.2,51.4,?,2,?,119.0,?,3.43,3.23,?,90.0,?,?,29.0,11048.0,4
?,?,?,0,?,2,113.0,199.6,?,?,?,?,?,?,?,?,?,8.1,?,4750.0,?,19.0,?,2
7,?,?,0,?,?,?,?,?,?,4066.0,0,?,258.0,4,3.63,?,?,176.0,4750.0,?,?,?,?
?,1,0,1,?,2,?,?,?,47.8,3950.0,?,?,326.0,?,3.54,?,11.5,262.0,?,13.0,?,?,?
8,?,?,?,2,?,?,159.1,64.2,54.1,?,?,?,91.0,1,3.03,?,9.0,?,?,?,31.0,?,?
8,?,?,1,?,?,93.1,?,64.2,?,?,?,2,91.0,1,?,?,9.0,68.0,?,31.0,?,6095.0,3
8,1,?,1,?,1,93.1,?,64.2,?,?,2,?,91.0,?,?,?,?,68.0,5000.0,?,?,6795.0,?
?,?,?,0,3,1,?,?,?,?,?,2,?,?,?,?,3.15,?,?,5000.0,?,?,?,3
?,?,?,?,3,1,?,?,64.2,54.1,?,?,?,?,1,?,3.15,?,?,?,?,38.0,?,?
?,1,0,1,?,?,?,?,66.5,53.7,2385.0,?,2,122.0,?,?,?,8.6,?,?,?,?,?,3
?,1,0,?,?,1,98.8,177.8,66.5,?,2410.0,?,?,122.0,?,?,?,8.6,84.0,?,26.0,32.0,8495.0,?
8,1,?,1,?,?,?,?,?,?,?,?,?,122.0,1,?,?,?,84.0,?,?,32.0,10595.0,?
?,?,?,0,3,1,?,177.8,?,?,2410.0,2,?,?,1,3.39,3.39,?,84.0,4800.0,26.0,32.0,?,?
?,1,0,0,?,?,?,177.8,?,?,2425.0,?,2,?,1,3.39,?,?,?,?,?,?,?,?
8,?,0,?,3,?,?,?,66.1,?,?,?,2,140.0,4,3.76,?,8.0,?,5000.0,?,27.0,18280.0,?
?,0,?,?,?,2,104.9,175.0,?,?,2700.0,2,2,134.0,2,3.43,?,?,72.0,?,?,?,18344.0,?
9,?,?,0,?,2,?,?,?,?,?,2,?,?,?,?,?,21.5,123.0,?,?,?,?,?
9,?,?,?,?,?,?,?,?,58.7,3750.0,2,1,?,2,3.58,?,21.5,123.0,?,22.0,?,?,1
9,?,?,1,?,?,?,187.5,?,54.9,3495.0,?,?,?,?,?,3.64,21.5,?,4350.0,?,?,?,?
?,?,?,0,?,?,115.6,?,71.7,?,?,2,1,?,2,3.58,3.64,?,?,4350.0,22.0,25.0,?,?
9,?,?,?,3,?,?,?,71.7,?,?,?,0,?,4,?,3.1,8.3,155.0,4750.0,16.0,?,?,?
