@relation dataset

@attribute make {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20}
@attribute fuel-type {0, 1}
@attribute aspiration {0, 1}
@attribute num-of-doors {0, 1}
@attribute body-style {0, 1, 2, 3, 4}
@attribute drive-wheels {0, 1, 2}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {0, 1, 2, 3, 4}
@attribute num-of-cylinders {0, 1, 2, 3, 4, 5}
@attribute engine-size real
@attribute fuel-system {0, 1, 2, 3, 4, 5, 6}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {0, 1, 2, 3, 4, 5}


@data

?,?,?,1,0,2,88.6,168.8,?,48.8,2548.0,?,2,?,?,?,2.68,9.0,?,5000.0,?,27.0,13495.0,?
0,1,0,1,0,?,88.6,168.8,64.1,?,2548.0,0,?,130.0,4,?,?,?,?,?,21.0,27.0,16500.0,5
0,1,?,1,2,?,?,171.2,?,?,?,4,?,152.0,?,2.68,?,9.0,?,5000.0,?,26.0,16500.0,?
1,?,?,0,3,?,?,?,?,54.3,?,?,2,109.0,4,3.19,?,10.0,102.0,?,?,?,13950.0,?
?,?,?,0,?,0,99.4,?,?,?,2824.0,2,1,?,4,?,3.4,?,115.0,5500.0,?,?,17450.0,4
?,1,0,1,3,1,99.8,?,66.3,?,?,2,?,136.0,4,3.19,?,8.5,?,5500.0,?,?,15250.0,?
?,1,0,0,?,1,105.8,?,?,55.7,2844.0,?,?,?,4,?,3.4,?,110.0,?,19.0,25.0,?,3
?,?,?,0,4,1,105.8,192.7,71.4,55.7,2954.0,2,?,?,4,?,3.4,8.5,110.0,?,19.0,?,?,3
1,1,1,0,3,?,105.8,?,71.4,55.9,?,2,1,?,4,3.13,?,?,140.0,?,?,?,23875.0,3
?,1,0,?,3,2,?,?,?,54.3,2395.0,2,?,?,4,3.5,2.8,?,?,?,23.0,29.0,16430.0,4
?,1,0,0,3,2,?,?,64.8,54.3,2395.0,?,?,108.0,4,?,2.8,?,?,?,?,?,?,?
2,?,0,1,?,?,101.2,?,?,?,2710.0,?,?,?,4,3.31,3.19,9.0,121.0,4250.0,21.0,?,20970.0,?
?,1,0,?,?,2,101.2,176.8,?,54.3,2765.0,2,3,164.0,?,?,3.19,9.0,?,?,21.0,28.0,?,?
2,?,0,?,3,?,103.5,189.0,66.9,55.7,?,2,?,?,4,3.31,?,?,121.0,?,20.0,?,?,?
2,1,0,?,?,2,103.5,?,?,?,?,?,3,209.0,?,?,?,8.0,182.0,?,?,?,30760.0,2
2,1,0,?,3,2,103.5,193.8,?,?,3380.0,?,3,209.0,4,?,3.39,8.0,182.0,5400.0,16.0,22.0,41315.0,2
?,1,0,0,3,2,?,?,70.9,?,?,?,?,209.0,4,?,3.39,?,?,?,15.0,?,36880.0,?
?,1,?,1,2,?,88.4,?,60.3,53.2,1488.0,1,4,61.0,?,2.91,3.03,?,?,5100.0,?,?,5151.0,?
3,1,0,?,?,1,?,?,?,52.0,1874.0,2,2,?,?,?,3.11,9.6,70.0,?,?,43.0,6295.0,?
