@relation dataset

@attribute make {alfa-romero, audi, bmw, chevrolet, dodge, honda, isuzu, jaguar, mazda, mercedes-benz, mercury, mitsubishi, nissan, peugot, plymouth, porsche, saab, subaru, toyota, volkswagen, volvo}
@attribute fuel-type {diesel, gas}
@attribute aspiration {std, turbo}
@attribute num-of-doors {four, two}
@attribute body-style {convertible, hardtop, hatchback, sedan, wagon}
@attribute drive-wheels {4wd, fwd, rwd}
@attribute engine-location {front, rear}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {dohc, l, ohc, ohcf, ohcv}
@attribute num-of-cylinders {eight, five, four, six, three, twelve}
@attribute engine-size real
@attribute fuel-system {1bbl, 2bbl, idi, mfi, mpfi, spdi, spfi}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {-2, -1, 0, 1, 2, 3}


@data

alfa-romero,?,std,?,?,?,front,88.6,?,64.1,?,2548.0,dohc,four,130.0,?,?,?,?,111.0,5000.0,21.0,27.0,13495.0,3
alfa-romero,gas,std,?,convertible,?,?,?,168.8,64.1,?,2548.0,dohc,four,130.0,?,?,2.68,9.0,111.0,5000.0,21.0,27.0,?,3
?,?,?,?,hatchback,rwd,?,94.5,171.2,65.5,?,2823.0,ohcv,six,152.0,?,2.68,?,?,?,5000.0,19.0,26.0,16500.0,1
audi,gas,std,four,sedan,fwd,front,99.8,176.6,?,?,2337.0,?,?,109.0,?,?,3.4,?,102.0,?,24.0,30.0,13950.0,2
audi,?,?,?,sedan,4wd,front,?,176.6,66.4,?,?,?,five,136.0,?,3.19,3.4,?,115.0,5500.0,?,?,17450.0,?
audi,gas,std,?,sedan,fwd,front,99.8,177.3,66.3,53.1,2507.0,?,five,?,mpfi,?,3.4,8.5,110.0,?,19.0,25.0,15250.0,?
audi,gas,std,?,?,fwd,?,105.8,192.7,?,55.7,2844.0,ohc,?,?,?,3.19,3.4,?,110.0,5500.0,19.0,25.0,17710.0,?
?,gas,?,?,wagon,?,?,?,192.7,71.4,?,?,ohc,five,136.0,mpfi,3.19,3.4,8.5,?,?,?,?,?,?
audi,?,turbo,?,sedan,?,?,105.8,?,71.4,55.9,3086.0,?,?,131.0,?,3.13,3.4,8.3,140.0,?,17.0,20.0,23875.0,?
bmw,?,?,two,?,?,front,?,?,?,54.3,2395.0,ohc,?,108.0,mpfi,3.5,2.8,8.8,?,5800.0,23.0,29.0,16430.0,?
bmw,gas,std,four,sedan,?,?,101.2,?,?,54.3,?,ohc,four,108.0,?,3.5,2.8,8.8,?,5800.0,23.0,29.0,?,0
?,gas,?,two,sedan,rwd,front,101.2,?,?,54.3,?,ohc,?,164.0,mpfi,3.31,?,9.0,121.0,?,?,28.0,20970.0,?
?,?,?,four,sedan,rwd,?,?,176.8,?,?,?,?,six,164.0,?,?,3.19,9.0,?,4250.0,?,?,?,0
bmw,gas,?,four,?,?,front,?,189.0,66.9,55.7,3055.0,?,?,164.0,mpfi,3.31,?,?,121.0,?,?,25.0,?,1
?,?,?,?,?,rwd,front,?,189.0,?,?,?,?,?,?,mpfi,3.62,3.39,8.0,?,5400.0,16.0,22.0,30760.0,?
bmw,gas,std,two,sedan,?,front,?,193.8,?,53.7,?,ohc,?,?,?,3.62,?,8.0,182.0,5400.0,?,?,41315.0,?
bmw,gas,?,four,sedan,rwd,front,?,197.0,?,?,?,ohc,six,?,?,3.62,3.39,?,?,?,15.0,?,?,?
chevrolet,?,std,?,?,?,?,?,?,?,?,1488.0,?,three,?,2bbl,?,?,9.5,?,5100.0,?,53.0,5151.0,2
chevrolet,gas,std,two,hatchback,?,front,?,155.9,63.6,52.0,?,ohc,four,?,?,3.03,?,?,?,?,?,43.0,6295.0,1
chevrolet,?,std,four,?,?,?,94.5,?,63.6,52.0,1909.0,ohc,four,90.0,?,3.03,3.11,9.6,70.0,?,38.0,43.0,6575.0,0
